text	label
📢#Atención: se presenta siniestro vial entre un peatón y el tren a la altura de la Av. NQS con calle 67. Unidad de 👮🏻‍♀️@TransitoBta asignada.	1
📢#Atención: a esta hora se presentan disturbios en la carrera 7 con calle 28, por parte de estudiantes manifestantes de la @comunidadUPN. https://t.co/0u9dpEBrIx	0
Incidente vial entre taxi 🚖 y‍ motocicleta 🏍️ en la calle 75 con carrera 88 intersección.Unidad de 👮 TransitoBta asignada. 🚑	1
@chemabernal @Moniva0517 @MartinSantosR La gráfica dice que la deuda LP como % PIB pasó de 10% en 2010 a 15% en 2018 después del choque externo más fuerte de los últimos 100 años. Si saca números hable sobre ellos y su contexto, tenga rigor y seriedad.	0
RT @CaracolRadio: #CaracolEsMás | ¡Atención! Fuerte accidente en la Calle 26 deja por lo menos tres heridos&gt;&gt;&gt; https://t.co/CrF859mPPw ht…	1
Incidente vial entre 2 particulares 🚘 y un taxi 🚖‍ en la carrera 7 con calle 124, sentido norte - sur.Unidad de 👮 @TransitoBta asignada.	1
Dos heridos en aparatoso accidente entre camión y taxi en Bogotá https://t.co/Bro1c90emy https://t.co/SUESTXwys8	1
No se que me pasaaaaaa ush.	0
⚠ Se presenta volcamiento de vehículo en la Av. Rojas con la calle 63 intersección. Se gestiona unidad de 👮 @TransitoBta y asistencia. @BomberosBogota  en el punto atendiendo el evento. https://t.co/KToqfzuzfI	1
Incidente vial entre particular 🚙 y un bus 🚍‍ en la Autonorte con calle 135, sentido norte - sur.Unidad de 👮 TransitoBta asignada.	1
@Soy_SOMOS No entiendo lo de LuxemburgoCon esas cifras dan para ser expropiado por los prestamistas	0
Un accidente similar al ocurrido en la Soyuz sucedió en 1983 https://t.co/VJvB1I7eGi	0
Ganó más Ponse  estuvo y estuvo es la realidad.. No necesita a ganar https://t.co/y9srtf1E61	0
Incidente vial entre particulares  🚘‍ en la Av. Caracas con calle 44 Sur, sentido -sur - norte.Unidad de 👮 @TransitoBta asignada.	1
💥  Incidente vial entre dos motocicletas  🏍‍ en la carrera  68 con calle 65, sentido sur - norte.Unidad de 👮 TransitoBta asignada.	1
@kathh___ Te conocí también el día de la marcha cuando íbamos para garaje jaja, pense que eras linda y que ibas a ser creída pero casi te terminas el medio litro de guaro que nos quedó tu sola jajjaja	0
💥  Incidente vial entre bus 🚌 y peatón 🚶🏽 ‍en la carrera 68 con calle 96, sentido S-N Unidad de 👮@TransitoBta y 🚑 asignadas.	1
calle 94 está presentando congestión hacia el Oriente desde la autopista Norte hasta la carrera séptima	0
RT @BomberosBogota: Bomberos de la estación #Bellavista aseguran el área en  la Calle 67 sur con 11 este, debido a la colisión de un alimen…	1
@LaCrestaNoSeCae Me desperté súper asustada, Flaca, me miraba y me.tocaba la pancita rogando que bebé esté bien	0
Accidente en Calle 80 &gt; Occidente Calz. Lateral #traficobogota. Tráfico 35m más lento de lo habitual. https://t.co/dASUlTfFXz https://t.co/cH7F5krcPM	1
⚠ Se presenta bus varado en la Av. Boyaca con  calle 80, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
Incidente vial entre  particular 🚘 y peatón🚶‍ en la carrera  129 con calle 17 C, en la intersecciónUnidad de 👮 @TransitoBta y 🚑 asignadas.	1
⚠ Se presenta bus varado en la carrera  7 con  calle 76, sentido sur - norte.Se gestiona unidad de 👮 @TransitoBta y asistencia.	0
@argiro1961 cómo así? Ahora es que es más sabroso. Apretar hasta morir.	0
motociclista 🏍 choca contra bolardo en la carrera 88 con calle 6A, sentido sur - norte. Se asigna unidad de👮🏻 @TransitoBta. 🚑 y 🚒 @BomberosBogota.	1
Le encanta q le hagan cariños😍😍MAILON 🦄🦄 #pugs #pugs #puglove #puglover #puglovers #pugloversclub #pugloversofinsta #pugloversofinstagram #blackpugsofinstagram #blackpugsofinsta… https://t.co/CqsIyBkpB3	0
RT @BomberosBogota: Bomberos de la estación #Kennedy aseguran el área en la Calle 35 sur con Carrera 69, donde un tractocamión colisionó co…	1
Incidente vial  implicado ujn motociclista 🏍 en la carrera  9 con calle 100, sentido norte - sur.Unidad de 👮 @TransitoBta asignada.	1
📢#Atención: movilización llega a la calle 26 con carrera 25 con dirección hacia el oriente. Afectados carriles mixto y exclusivo de @TransMilenio. https://t.co/DThfX0TDXk	0
Nunca ningún profesor nos dió tan duro en una exposición como ella 😤	0
calle 100 hacia el Oriente presentando congestión de la carrera 23 pasa la carrera novena hasta la carrera 13	0
Accidente con motociclista, frente a @TransMilenio @BomberosBogota atendió con prontitud @SectorMovilidad @BogotaMotorCity https://t.co/VL4aLBrc7d	1
💥  Incidente vial entre dos vehículos  particulares 🚘 en la Calle 170 con carrera 22, sentido  occ - ori.Unidad de 👮 @TransitoBta asignada.	1
Me quiero tomar muchas fotos 😈	0
De acuerdo al sistema de alerta de Bogotá IDIGER, se reportan lluvias en las siguientes localidades de la ciudad:UsaquénSubaTransite con precaución.https://t.co/DL3G4z6ehI https://t.co/yD2yfRFlzs	0
