text	label
¿Cómo se encuentra el tráfico en la ciudad? 🔴 #ENVIVO → https://t.co/M91tlhBoUf	0
RT @GuavioNoticias: 🚨En horas de la madrugada se presenta un accidente de tránsito, kilómetro 9+800, ruta 5009, vía #Guasca - #Gacheta, ver…	1
Incidente vial  entre moto 🏍️ y taxi 🚕, en la Av primero de mayo con carrera 68 i, sentido oc-or.Unidad de 👮@TransitoBta y 🚑 asignadas.	1
Los supervisores de Asobel prestaron apoyo en un accidente de tránsito en la 60 con 23. Los servicios médicos también hicieron presencia y atendieron a dos lesionados de uno de los vehículos. Se recomienda tener precaución al conducir durante esta época de poco flujo vehicular. https://t.co/gPY9TqNCgl	1
Paso a un carril en la vía Bogotá-Villavicencio, ambos sentidos, a la altura del Túnel de Boquerón por un accidente de tránsito #VocesySonidos https://t.co/WGzjCQI0cg	1
Que pena la primera versión colombiana de una carrera mundialmente conocida sin hidratación, sin absolutamente nada a la llegada y geles energéticos sin usar en el barro!! Todo un fiasco la organización. Respuestas señores #asicsgoldenrun #asicscolombia	0
Grave accidente entre bus y tractomula dejó por lo menos 15 heridos en la vía Bogota – La Vegahttps://t.co/SRD2vdlcqe https://t.co/0pgubMBQZc	1
📢#Atención: estudiantes de la @udistrital sede tecnológica, inician movilización por la Av. Villavicencio con Av. Gaitán Cortés, ocupando toda la vía hacia el oriente (Av. Boyacá). https://t.co/q1N1dM6hIp	0
Última temporada, para mí los Spriggan 12 es el mejor equipo de villanos en toda FT, pero su final es Nah! Malo.	0
Incidente vial entre peatón 🚶🏽 ‍y motociclista 🏍 en la carrera 17 con calle 16 sur. Unidad de 👮@TransitoBta y 🚑 asignadas.	1
@numeral767 buenas noches la vía Bogotá - Girardot tiene alguna novedad en el tráfico vial?	0
Incidente vial entre particular   🚗 y  motociclista 🏍️ en la Av Boyacá con calle 26, sentido norte - surUnidad de 👮@TransitoBta y 🚑 asignadas.	1
Dianita y Jonathan en un lugar tan romántico para ellos como lo es Italia para muchos ❣️.....#weddingphotographer #instamoment #ourwedding #places #romantic #fotografosdebodacolombia… https://t.co/IGHyVzrwQ9	0
RT @AnimalesBOG: Muddy🐕 tiene 4 años, sufrió un accidente y por la gravedad de sus heridas perdió su ojito izquierdo. Hoy Muddy encontró un…	0
Se presenta incendio vehicular en la Av. Villavicencio  con Av. Gaitan Cortes, ambulancia y Bomberos en el punto.	0
📢#Atención: se registra manifestación en la Av. Ciudad de Cali con calle 38 sur, sector Patio Bonito. Se cuenta con acompañamiento de gestores de convivencia y @PoliciaBogota. https://t.co/Oy61CUKxUG	0
💥 Incidente vial entre peatón 🚶🏽 ‍y motociclista ‍🏍 en la carrera 13 con calle 73  Unidad de 👮@TransitoBta y 🚑 asignadas.	1
#LoMásVisto ¡Brutal accidente! #Taxi a toda velocidad embiste a dos mujeres en #Valparaíso, #Chile [VIDEO+18] https://t.co/4aGSiA6kLl	1
Incidente vial  caída de motociclista ‍🏍  en la Autonorte con calle 116,, sentido norte - sur.Unidad de 👮@TransitoBta y 🚑 asignadas.	1
RT @_fransua: Al menos cinco heridos dejó este accidente de tránsito frente a la Universidad Libre en el barrio Santa Isabel. El vehículo p…	1
La ambulancia 6056 Atendió lesionado en accidente de tránsito en la calle 41a sur con carrera 11a	1
